time,field_id,et,etof,eto,pr,ndvi,acres,year,month,et_acft,pr_acft,net_et_acft
2023-08-01,21106020615,65.971,0.396,166.718,31.982,0.288,4.091976,2023,8,0.8856684668503937,0.42936212740157476,0.45630633944881893
2023-08-01,21106020616,108.545,0.65,166.944,32.002,0.482,12.807193,2023,8,4.560881772260498,1.3446712283005249,3.2162105439599733
2023-08-01,21106020617,56.057,0.336,166.718,32.077,0.283,11.02066,2023,8,2.0268541260498685,1.1598087625328082,0.8670453635170603
2023-08-01,21106020620,90.081,0.539,167.149,30.027,0.425,10.523989000000002,2023,8,3.1102737962893707,1.036757932096457,2.0735158641929137
2023-08-01,21106020750,60.356,0.361,167.236,29.931,0.257,24.680348,2023,8,4.88716234871391,2.423581023582677,2.463581325131233
2023-08-01,21106020751,71.721,0.426,168.285,30.421,0.283,10.30407,2023,8,2.4246004083661417,1.0284124457677164,1.3961879625984253
2023-08-01,21106020752,42.856,0.255,168.285,30.898,0.244,2.782346,2023,8,0.39120807144356956,0.2820502844750656,0.10915778696850398
2023-08-01,21106021071,29.965,0.181,165.296,30.98,0.205,2.7329260000000004,2023,8,0.2686749592847769,0.2777757463254593,0.0
2023-08-01,21106021073,93.728,0.559,167.626,30.029,0.43,2.172009,2023,8,0.667907019527559,0.21398706778543308,0.45391995174212596
2023-08-01,21106021076,118.81,0.705,168.415,30.333,0.535,21.900472999999998,2023,8,8.536729649376639,2.179485064005905,6.357244585370734
2023-08-01,21106021077,113.999,0.677,168.396,30.299,0.461,5.166861000000001,2023,8,1.9324704302460631,0.5136178524901576,1.4188525777559056
2023-08-01,21106021162,54.895,0.326,168.396,30.434,0.283,71.639232,2023,8,12.902347902362207,7.15311150488189,5.749236397480317
2023-08-01,21106021163,77.06,0.458,168.406,30.601,0.369,76.67513000000001,2023,8,19.385123089895014,7.6979516178805785,11.687171472014436
2023-08-01,21106021164,114.656,0.681,168.396,30.596,0.482,76.66030400000001,2023,8,28.83715162540683,7.695205581312337,21.141946044094492
2023-08-01,21106021268,68.557,0.412,166.381,32.316,0.216,4.082092,2023,8,0.9181626681233596,0.43279817937007875,0.4853644887532808
2023-08-01,21106039991,117.382,0.702,167.273,23.418,0.551,121.35575200000001,2023,8,46.735501578950135,9.323848426299213,37.41165315265092
2023-08-01,21106039998,79.977,0.476,168.074,29.684,0.367,23.076669000000003,2023,8,6.055127154242127,2.2474010583858273,3.8077260958563
2023-08-01,21106040030,96.794,0.576,168.088,29.541,0.437,529.999848,2023,8,168.3097286329134,51.36720967771654,116.94251895519685
2023-08-01,21106040035,85.273,0.508,167.741,31.325,0.37,49.644861000000006,2023,8,13.888996824320866,5.102117030265748,8.786879794055118
2023-09-01,21106016347,50.046,0.447,111.93,15.338,0.357,1.289862,2023,9,0.21178619964566928,0.06490781940944881,0.14687838023622046
2023-09-01,21106016378,66.364,0.59,112.396,16.001,0.43,34.270299,2023,9,7.461660507992127,1.799078262135827,5.662582245856299
2023-09-01,21106016393,67.8,0.602,112.56,14.192,0.536,4.944471,2023,9,1.0998528011811024,0.23022287543307088,0.8696299257480316
2023-09-01,21106016454,45.843,0.408,112.49,15.186,0.27,185.824142,2023,9,27.94860938879921,9.25828550003937,18.69032388875984
2023-09-01,21106016455,67.33,0.598,112.56,14.171,0.54,7.529137,2023,9,1.6631784586942258,0.3500505263353018,1.313127932358924
2023-09-01,21106016462,46.74,0.418,111.896,15.103,0.351,33.183059,2023,9,5.08850451988189,1.6442379923786088,3.444266527503281
