date,rh,flux,ebr,EToF_filtered,es,rso,ebr_5day_clim,EToF,sw_out,t_max,ebr_corr,Rn,energy,lw_in,t_min,sw_in,H,t_dew,vp,theta_1,lw_out,LE,ws,wd,ebc_cf,flux_corr,vpd,LE_corr,H_corr,t_avg,theta_mean,G,theta_2,Rn_subday_gaps,ET_fill_val,G_subday_gaps,ET_gap,ASCE_ETo,ET,ET_corr,gridMET_ETo,gridMET_prcp,H_subday_gaps,ET_fill,ppt,LE_subday_gaps,gridMET_ETr
2013-11-30,,39.61915356805555,,0.5547013258036695,,151.46434941504066,0.8805886534557538,0.6056695097939996,25.997407409027772,23.5034016,,35.79723291597223,,297.2518547701389,12.822921433333335,124.40438234722224,6.8983116069444455,,,,359.8615967888889,32.720841961111105,,,1.0292309564415838,40.95050532368918,,33.86021294187136,7.090292381817813,,,,,,,,0.0,,34.5239869097477,35.72581675200338,60.00000064000002,29.500000099999998,,34.25190393117179,,,91.40000070000002
2013-12-31,66.50676075268815,28.325021606854843,1.0761646265801643,0.31257683398520264,1.554106447144744,129.33954326551878,0.9036292082503742,0.3146416330781857,20.63941570905173,18.65231393548387,1.064812280505709,20.612604829022988,26.475273731321842,264.0880143168104,8.102711129032258,110.28441377729885,17.962454706989256,8.384284998831555,1.1436257632737759,13.957688172043007,333.1204075639368,10.362566899865591,1.9653433750000004,192.82530726142468,0.9913598895542703,28.026223969481002,0.4104806838709678,10.432964924022043,17.59325904545896,13.099413776209678,22.77914852150537,-5.707737716397848,31.600608870967747,,,,0.0,38.086860717144454,11.239514080449847,11.31570845067503,36.50000036,11.0000001,,11.335698557751071,,,56.7000006
2014-01-31,67.06627016129033,32.525098129032266,1.0427477400727316,0.2121316389512471,1.8439102002285408,142.75273330101152,0.8511331851470858,0.2207581971442837,21.5108871014785,22.08188222580645,0.999668065261344,30.56141724932795,31.19172248387097,282.6691709159947,10.459835,117.69202380376345,21.477790278225807,10.74133754088376,1.3351721187769283,11.18678595430107,348.28889038104836,11.04730785080645,1.7139096942204304,199.2287829590054,0.9596058630663472,31.181368867620048,0.5087380814516129,10.660164527412931,20.521204340207113,15.73588323521505,20.680331149193552,-0.6303052345430108,30.173876344086022,,,,0.0,48.63002735846832,12.015076357017572,11.594191044791465,55.200000500000016,4.300000099999999,,11.971033245516866,,,86.00000060000002
2014-02-28,73.4385778985507,45.40680063318452,,0.5361449215902463,2.1692272431983524,185.8325891077517,0.8417931689837359,0.524215301196156,,22.766351107142853,,,,,15.534287821428574,,19.794826936011905,14.632880983061586,1.7418242471049574,19.99393206521739,,25.611973697172623,2.935745752604167,220.15687222282608,1.1296539184381431,51.692614792069044,0.4311688230072465,28.95707641660993,22.73553837545912,18.463263510416667,29.474028985507246,-0.10001118055555602,38.9541259057971,,,,0.0,,25.22311013411467,28.518507875621268,58.50000059999999,109.4000011,,29.81913541969693,,,82.50000159999999
2014-03-31,65.82821908602152,70.04744979032257,,0.7220675387071328,2.3918439765502075,245.86478303629303,0.8453214913871424,0.7215612038420294,,24.86822714285714,,84.86875111125,,,15.920041785714286,208.82992622749995,6.795502003360215,14.632627934405123,1.7346235814884792,25.318725470430106,,63.25194778696235,3.153308414351852,236.68112740354943,1.11278533631575,78.01191819636513,0.6412926418010755,70.76033682500693,7.251581371358214,20.025800079475307,33.00210534274193,,40.685485215053774,,,,0.0,,69.03352994840536,77.22517914788524,104.800001,50.700002000000005,,76.1516177071552,,,144.40000009999997
2014-04-30,66.34968055555558,104.89780082013887,,0.9345359119607132,2.536658137882484,305.17183807170056,0.8228231678144713,0.9320300647056894,65.16106481805556,26.408948766666654,,130.19901156041666,,305.6261077201389,15.721025066666664,272.28380012777785,-3.1655123986111104,15.461143223240777,1.8062869287158172,23.92641944444444,382.5498314694445,108.06331321875,3.033598230555555,247.23842203958333,1.2472181373425686,130.93450049026765,0.7303712091666666,134.81749156832242,-3.8829910780547263,20.766184788194447,29.981432465277788,,36.03644548611111,,,,0.0,137.33724114536477,114.27063804600424,142.5624777959359,153.70000159999998,28.000001,,143.84483801873992,,,210.0000039
2014-05-31,,126.33787485819893,,0.6512830464450425,3.056755658977797,345.64899296470816,0.8308718025184326,0.6550238035995742,75.61442653091397,30.531917258064514,,154.5276610191532,,306.9293748638889,17.70617635483871,334.94134622446245,12.551587598790329,,,,412.2851306310485,113.78628725940858,4.184104557123656,257.11585902755377,1.166902427054046,147.51598823002544,,134.1511597536244,13.364828476401,23.678786491935483,,,,,,,0.0,,124.6948319956624,147.00604607264134,223.2000028,0.0,,146.18880047448425,,,312.40000299999997
2014-06-30,50.73010833333332,136.72390074861113,0.8813024966433928,0.5852547264074577,3.367303115896541,361.62094753520836,0.8616653407862092,0.5870694643256992,86.73884258055556,33.380066199999995,1.0279706952490075,163.91654987569441,151.8555522875,319.25960164166673,19.22801,360.27413104097224,20.474924421527774,,,8.789295000000001,428.87834021875017,116.24897632708333,4.081543900862069,256.2457286242284,1.1650855232488229,159.47777731824243,1.4907250149166666,139.08830750039422,20.38946981784819,25.726873665589075,16.73811729166667,8.7781027825,24.68693958333333,,,,0.0,,123.47388812797749,147.72733188728697,252.4000056,0.0,,147.19393518202176,,,355.00000799999987
2014-07-31,57.41382392473119,125.61487988373655,0.8067196805231897,0.6621515491651503,3.591107677302382,352.516637843564,0.8809593026873347,0.6610557834616607,79.02903225336023,34.72713870967741,1.001306813592386,163.69699675806453,155.71069222244626,341.2539619563172,21.22226303225807,331.61974969690857,10.346847387096773,19.919319655907127,2.3971123057448724,7.237634408602152,430.1476826129032,115.2680324966398,3.9720738760416663,260.25993487583327,1.2367751542620795,155.9141770715224,1.3979806821908605,143.9859292098151,11.928247861707273,27.19872838958333,15.43860567876344,7.98630453561828,23.63957694892473,,,,0.0,225.4796835549917,126.63704214354044,158.18457517475653,243.80000680000006,0.0,,159.3477543783484,,,339.70000699999997
2014-08-31,60.487173611111096,103.31829754838712,,0.5845918163052443,,318.5454748245885,0.9166479170096972,0.5850424846203516,,33.93556396774193,,,,,21.374882870967745,,9.02047334475806,,2.4191332660608382,6.461620138888889,,94.29782420362905,3.8690470012019236,,1.1551711316320288,119.44497506095564,1.2060449469444443,109.52539745182266,9.919577609133023,26.676336034855773,14.806869444444445,7.3350320309139825,23.15211875,,,,0.0,,103.4782586517825,120.18537080308937,207.50000269999998,0.0,,120.52429944975776,,,285.400005
