date,rh,flux,ebr,EToF_filtered,es,rso,ebr_5day_clim,EToF,t_max,ebr_corr,Rn,energy,t_min,sw_in,H,t_dew,vp,LE,wd,ws,ebc_cf,flux_corr,vpd,LE_corr,H_corr,t_avg,G,Rn_subday_gaps,ET_fill_val,G_subday_gaps,ET_gap,ASCE_ETo,ET,ET_corr,gridMET_ETo,gridMET_prcp,H_subday_gaps,ET_fill,ppt,LE_subday_gaps,gridMET_ETr
2010-02-28,,50.115002617559526,1.234224349643197,0.8591574612662275,1.8404748944950704,185.87751791095818,0.9128051640421538,0.9026964521638929,19.055989892857138,1.1874230893848778,41.02517709970238,40.604451396577375,13.153224928571431,107.63975790922623,9.237179892857146,,,40.877822724702376,201.45482134077375,2.3002750840773807,0.972216513253362,48.214663120102,,39.44699553739799,8.767667582704046,16.06303512872024,0.4207257031249996,0.0,,0.0,0.0,,40.15301532319592,38.747447423679546,43.40000020000001,67.20000003999999,0.0,36.888930800458375,47.90000000000001,0.0,55.80000089999999
2010-03-31,73.81543682795699,97.152465547043,,0.802865204516614,1.8032488714991477,245.90514752913379,0.9746849280769204,0.8203732803845218,19.610056903225807,,87.32127205443548,,11.776699548387098,199.29846524899202,30.84198917405913,11.279327704207804,1.377633546364739,66.31047637298387,226.5472631706989,2.7997704616935484,0.9659634839962086,95.4776887454437,0.42561532513440864,64.4803315578927,30.99735718755103,15.611825006048386,,0.0,,1009.0,0.0,84.50054997191044,72.0875422553122,70.10247133903043,85.60000080000002,45.90000099999999,0.0,68.04635592875299,46.70000000000001,0.0,110.9000012
2010-04-30,70.9096173611111,119.15740773194445,,0.7271988888882949,1.8036100187206572,305.20342333526435,0.9929158161071426,0.7366053656258179,19.341058800000003,,,,12.106100366666665,229.96788406458333,47.69891997569444,10.322033670505053,1.2943991844151015,71.45848775625,238.43623434027774,3.590147768055556,0.974172815400775,115.3455458547034,0.5092108343055555,70.64204008507974,44.703505769623625,15.599706293055556,,341.0,,1055.0,0.0,104.96029103559923,75.1551627567297,74.29245462649659,109.90000030000002,61.6000001,0.0,75.25190434754077,57.10344827586207,0.0,141.20000009999995
2010-05-31,60.79121458333332,134.49550982325272,1.191263643336336,0.3678620613920791,1.9707434771869332,345.67115905953835,1.024720893717468,0.3610782540723293,21.570433903225805,0.9897766561724288,126.04082257152778,112.90154834791666,12.964680387096774,283.32269723549115,74.3665872923387,8.257369765993584,1.1326885253956631,60.128922530913975,263.47715230241937,4.881706297715055,0.8322144204795744,111.74731700049077,0.8316493247916669,50.81426193275272,60.933055067738046,16.898019112231186,13.139274223611107,26.0,,24.0,0.0,161.21484093723473,65.45326696307347,55.314945461414005,158.4000014,18.300000100000002,0.0,57.67147834854754,19.8,0.0,208.5000039
2010-06-30,58.96810972222222,176.38200970208337,1.0780923618385838,0.7182283267783025,2.513626161520314,361.63809317663095,0.9658983185300184,0.7241019628235345,26.149964066666666,0.9928960596953209,175.4383631701389,163.6056574979166,16.2055054,335.9274928944445,18.50457873263888,10.624615818965829,1.3283767978397578,157.87743096944448,263.47436094930555,4.784138006944444,0.9194392220028572,162.44341267354375,1.1852493636805554,145.93816755819202,16.505245115351652,20.687526547222213,11.832705672222222,6.0,,0.0,0.0,201.6010397382429,166.91570311869336,154.29392309452697,211.40000120000002,0.0,0.0,153.76730570737243,0.0,0.0,283.8000056
2010-07-31,64.66869825268817,165.2977133185484,0.8938644381543694,0.9927649046213464,2.4367255216098016,352.5361563386772,0.8670062567054659,0.9892537008609148,26.42900222580645,0.9987191040013568,184.66689999663976,184.92481215591403,15.554326741935482,345.12595731736116,-25.16301631115592,11.678220591913481,1.4103150288006618,190.46072962970428,255.05416925268815,5.2920175329301085,1.121914505126937,184.6879427039736,1.0264104928091398,212.9401049994466,-28.252162295472964,20.15574750201613,-0.2579121592741942,1.0,,0.0,0.0,204.0993773840628,207.96825606782616,232.50810162888948,236.3000054,0.0,0.0,234.30378467879842,0.0,0.0,320.50000430000006
2010-08-31,69.78608680555554,128.5666857372312,0.8231348625380753,1.018170825329207,2.3790475582738337,318.57335301800265,0.8255180683827716,1.0172513890313961,26.131137967741928,1.0152764236265082,153.69909477881944,156.19152047673612,15.021445064516131,,-21.884066231182796,12.980298856940575,1.5324325710045363,150.45075196841395,248.60575600604832,3.5760161794354843,1.2379462525395797,158.57756831040717,0.852170556527778,186.058166761688,-27.48059845128079,19.745136320564512,-2.492425697916667,20.0,,19.0,0.0,,164.18876981781727,203.0552097749392,202.5000021,0.0,0.0,205.53772801583438,0.0,0.0,278.8000046
2010-09-30,66.45299375,91.86776744861109,0.7607972890221054,1.0069324349301352,2.499322731671169,264.5102442051096,0.8475204279465308,1.0060649959400843,26.98696270000001,0.9903805619744352,118.98232492777781,120.75196477986113,15.019319200000002,,-26.44586564236112,12.476444499433244,1.4948467351433914,118.31363309097222,243.93850360625,2.6172043604166664,1.2999271879147185,119.59039873819613,1.004475996527778,154.0649606917907,-34.474561953594666,20.46769004236111,-1.7696398520833332,0.0,,0.0,0.0,,125.05767681621056,162.84945447404712,162.60000240000005,0.0,0.0,163.6366802160403,0.0,0.0,229.9000046
2010-10-31,72.4046498655914,55.54937854301075,0.7535219297605509,0.8694371666469023,2.0648677683999743,202.21706199499388,0.8937117756944515,0.905615579829018,22.44150429032258,0.9273375578279164,70.18052640833332,73.71965745,13.223533838709676,158.50384298958332,-6.1080118239247305,11.54846017183995,1.4075949482386836,61.657390366935495,229.2442489744624,1.9687078138440859,1.2112654888002563,68.36300710359356,0.6572728201612903,76.12448583157557,-7.761478727982032,17.584723554435485,-3.539131041666665,241.0,,241.0,0.0,75.4904365827836,67.19055807469715,82.95892650384118,91.90000090000002,29.1,0.0,82.65426810195669,24.70000000000001,0.0,130.30000120000003
2010-11-30,78.12969899425286,36.82997713055557,,0.7340957522876316,1.6440058272931617,151.50978122233317,0.8398556478154034,0.7892246927676886,18.118537566666667,,,,9.7722138,119.81001559722219,5.845580388888887,10.276792390717947,1.3113072711179043,30.984396741666664,202.88687483796295,2.1553242368055554,1.0591139170640325,39.926267825193094,0.3391938802442528,33.261791577387555,6.664476247805537,14.046810654166665,,863.0,,911.0,0.0,39.99612117904201,32.55364102957057,34.95363233408204,45.80000038,60.49999999999999,0.0,33.50469470612973,60.7,0.0,65.50000044000001
2010-12-31,,20.347147522849465,1.8617041183093,0.5791387222205336,1.6377262347841632,129.38500126043635,0.9354005336077152,0.5608254210898653,16.75783,1.7541495935365825,8.374085643817201,10.929313268817207,11.529666290322584,57.957758642473145,3.9186660006720433,,,16.42848152217742,170.2784921337365,2.301907325268817,0.9497375561711848,19.171650428129674,,15.345793477313366,3.82585695081631,14.17100931653226,-2.555227625,0.0,,0.0,0.0,,17.837896432710085,16.661883122595544,28.700000320000004,135.60000114000002,0.0,16.915868813984382,106.2,0.0,41.00000058
2011-01-31,,14.439588075940865,,0.5866296456198564,,142.79845435592497,0.7998630656759008,0.6196348797726648,15.081465548387095,,,,9.176472903225807,,3.585119804435483,,,10.854468271505377,,,1.4848809782555772,21.455507718588983,,15.629314354224654,5.826193364364335,,,170.0,,170.0,0.0,,11.770322888331537,16.953452272964256,30.200000300000003,34.0000001,0.0,16.812757423890986,40.8,0.0,41.800000540000006
