date,rh,sw_in,H,vp,theta_1,G,lw_out,LE,wd,es,ws,sw_out,vpd,Rn,lw_in,t_avg,theta_mean,t_dew,theta_2,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2013-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.02970204292401,,,1.238525854293123,0.8074114856251754,,,0.8074114856251754,,,,,2.5,1.8000001,0.0,,,,False,
2013-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.72154570764545,,,1.238060872091491,0.8077147275567089,,,0.8077147275567089,,,,,2.1000001,1.5,0.5,,,,False,
2013-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.43877468337442,,,1.2367831906618667,0.808549151985845,,,0.808549151985845,,,,,2.6000001,1.8000001,0.0,,,,False,
2013-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.18075178116638,,,1.2327961276072386,0.8111641313644635,,,0.8111641313644635,,,,,2.6000001,1.8000001,0.0,,,,False,
2013-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.94682604393643,,,1.2264426579680232,0.8153662900610498,,,0.8153662900610498,,,,,2.1000001,1.5,0.0,,,,False,
2013-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.73633307256637,,,1.2182451943803294,0.820852817325217,,,0.820852817325217,,,,,2.5,1.8000001,0.0,,,,False,
2013-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.54859537777745,,,1.2123046239537871,0.8248751842079255,,,0.8248751842079255,,,,,2.0,1.5,0.0,,,,False,
2013-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.3829227573233,,,1.2058039144590251,0.829322237230124,,,0.829322237230124,,,,,1.8000001,1.5,0.0,,,,False,
2013-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.2386126979773,,,1.1996088866481394,0.8336050283806482,,,0.8336050283806482,,,,,2.6000001,1.9,0.0,,,,False,
2013-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.11495080171642,,,1.1930155928081845,0.8382120116688049,,,0.8382120116688049,,,,,3.2,2.3,0.0,,,,False,
2013-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.01121123543476,,,1.1826897303789454,0.8455302978572327,,,0.8455302978572327,,,,,2.8,2.1000001,0.0,,,,False,
2013-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.92665720344814,,,1.1731088487117498,0.8524358171009883,,,0.8524358171009883,,,,,2.8,2.1000001,0.0,,,,False,
2013-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.8605414419884,,,1.1645897722516418,0.8586714599653228,,,0.8586714599653228,,,,,2.6000001,1.9,0.0,,,,False,
2013-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.81210673481948,,,1.1569490586323936,0.8643422910789866,,,0.8643422910789866,,,,,1.8000001,1.3000001,8.0,,,,False,
